Name, Ra, Dec, Lat, Long, Av, Morph, Red, Helio, Error, VGS, Error, 
IC4296,13h36m39.03s,-33d57m56.9988s,313.5382851,27.9730709,0.172,E;RLG;BrClG    LINER,2000MNRAS.313..469S,3737,10,3041,50
2MASXJ15275941+4250592,15h27m59.4s,42d50m58.3008s,69.714592,54.705380,0.07,               Sbrst,2004AJ....128..644G,5573,45,6109,49
ESO529-G005,20h49m47.2399s,-25d41m55.2984s,19.782360,-36.419823,0.223,(R)SB(l)0^+,1991ApJS...75..935d,5937,32,6183,37
NGC2076,5h46m47.46s,-16d46m57.3996s,221.311787,-21.643899,0.224,S0+: sp,1998A&amp;AS..130..333T;,2142,5,2141,15
NGC3546,11h09m46.7902s,-13d22m51.1032s,268.394643,42.571811,0.143,SA0- pec:,2008AJ....135.2424O,4455,24,4938,48
NGC5516,14h15m54.69s,-48d06m53.4996s,317.190443,12.404506,0.547,E,2008AJ....135.2424O,4123,20,4353,36
NGC4532,12h34m19.3301s,6d28m03.6984s,291.024081,68.942790,0.057,IBm            HII,1985AJ.....90.1681B,2012,4,998,66
UGC09113,14h14m14.7732s,35d25m25.1652s,63.222072,70.511732,0.063,S?,1991RC3.9.C...0000d,3184,7,3770,26
UGC09386,14h34m52.7801s,40d44m52.836s,72.190753,64.737364,0.042,SBab,2004SDSS3.C...0000:,5696,51,6251,56
ESO091-015,9h36m32.6501s,-63d56m39.9984s,283.421835,-8.728439,0.67,SAB(s)m?,2006HIPAS.C...0000:,2931,10,2861,24
ESO437-G056,10h44m24.4301s,-32d12m35.2008s,273.902797,23.405244,0.202,SB(rs)bc,1992ApJS...81..413M,2966,10,2985,26
NGC4779,12h53m50.8358s,9d42m36.2376s,304.914605,72.572520,0.059,SB(rs)bc;HII   Sbrst,2008AJ....136..713K,2831,1,3337,31
IC511,8h40m50.4499s,73d29m12.0012s,140.576316,33.600605,0.059,S0/a:,1999PASP..111..438F,3623,49,3888,51
CGCG098-015,11h58m47.1s,15d42m58.6116s,253.296388,73.279541,0.149,SABab(r),2006SDSS5.C...0000:,5178,25,5746,42
NGC5643,14h32m40.7436s,-44d10m27.8616s,321.4428064,15.0282448,0.452,SAB(rs)c       Sy2,2004AJ....128...16K,1199,2,1051,21
NGC7552,23h16m10.7592s,-42d35m05.0712s,348.144769,-65.235868,0.038,(R')SB(s)ab;HIILINER,2006HIPAS.C...0000:,1608,5,1640,12
2MASXJ16110570+0234002,16h11m05.689s,2d34m00.3108s,14.584607,36.365897,0.208,None,NOTE:,None,None,None,None
2MASXJ17503055-0148023,17h50m30.57s,-1d48m02.4984s,24.224061,12.672861,1.115,with *,1998PASJ...50...47R,None,None,None,None
NGC1233,3h12m33.1099s,39d19m08.1012s,150.608178,-15.851762,0.409,Sb,1998A&amp;AS..130..333T;,4389,7,4314,18
