name,type,redshift,right ascension,declination,TNSprefix
SN2024dy,IIn,0.021,161.687625,29.909389,SN
SN2024ka,Ib,0.017,181.040720737,1.82601767569,SN
SN2023rve,II,0.004,41.575542,-30.239489,SN
SN2024ahv,Ib,0.004833,244.692997066,7.41243679441,SN
SN2024ahv,Ib,0.004833,244.692997066,7.41243679441,SN
SN2021mwh,IIn,0.03501,239.1744461,68.3786002,SN
SN2024uj,Ib-Ca-rich,0.013,166.954417,-20.026181,SN
SN2024ws,II,0.012,127.194583,73.752369,SN
SN2022xxf,Ic-BL,0.003,172.524751327,9.28260391655,SN
SN2024dy,IIn,0.021,161.687625,29.909389,SN
SN2023vbg,IIn,0.0173,115.932426728,34.375016064,SN
SN2024uj,Ib-Ca-rich,0.013,166.954417,-20.026181,SN
SN2024gy,Ia,0.001183,183.963702453,13.1155916839,SN
SN2023xgo,Ibn,0.01325,76.07996335,67.622540825,SN
SN2024gy,Ia,0.001183,183.963702453,13.1155916839,SN
SN2024fa,II,0.01,36.255667,-24.786911,SN
SN2025coe,II,0.00472,158.283125,28.436972,SN
SN2024ahr,SLSN-I,0.1,215.496958,-12.506131,SN
SN2025cfc,II,,157.447996,13.014839,SN
SN2025brs,Ia,0.00952,94.7462899875,-24.6275096625,SN
SN2025brs,Ia,0.00952,94.7462899875,-24.6275096625,SN
SN2025bco,II,0.036,198.930434,-0.4718493,SN
SN2024afav,SLSN-I,0.072,192.300205,-18.103506,SN
SN2025bvm,Ia,0.02261722,182.7031968,39.4743366,SN
SN2025bco,II,0.036,198.930434,-0.4718493,SN
SN2020ywx,IIn,0.0217,178.359292,10.896469,SN
SN2025oq,Ic-BL,0.01133,136.160132118,18.4666761729,SN
SN2022ffg,II,0.012,153.450958,18.127319,SN
SN2025bco,II,0.036,198.930434,-0.4718493,SN
SN2025baq,Iax,0.007438,215.5747661,50.5082658,SN
SN2025bco,II,0.036,198.930434,-0.4718493,SN
SN2025ayy,II,0.016,225.7063413,-9.3329234,SN
SN2025baq,Iax,0.007438,215.5747661,50.5082658,SN
SN2024ggi,II,0.002435,169.592030529,-32.8375756395,SN
SN2024stj,Ic-BL,0.04,17.925208,-62.785569,SN
SN2025ass,Ia,0.03,161.2575525,76.6867034,SN
SN2025mb,Ia,0.005,8.570355,-27.80146,SN
SN2024agkj,SLSN-I,0.1934,129.0935829,42.025672,SN
SN2024adhq,SLSN-I,0.109,17.737583,42.201519,SN
SN2024rmj,SLSN-I,0.14,16.9697404719,3.51120617061,SN
SN2024iss,IIb,0.003334,194.775542,28.811839,SN
SN2025aml,II,0.011798,27.5587743821,27.6443650461,SN
SN2025adj,II,0.011389,224.935272343,51.4630717467,SN
SN2025akv,Ia,0.025,115.842417,-29.215417,SN
SN2024adtg,SLSN-II,0.32,133.3685445,-11.1408015,SN
SN2025aft,Ibn,0.046,251.84277375,-73.03170375,SN
SN2025adj,II,0.011389,224.935272343,51.4630717467,SN
SN2025adj,II,0.011389,224.935272343,51.4630717467,SN
SN2025gj,Ia,0.0077,146.084398667,-21.272888054,SN
SN2025cy,Ia,0.01,200.306033,-43.683656,SN
SN2024afav,SLSN-I,0.072,192.300205,-18.103506,SN
SN2022esa,Ia-CSM,0.023,253.49,-9.70285,SN
SN2025iv,Ic,0.0173,31.8635666,19.1935787,SN
SN2024xuo,IIn,0.0047,152.207233,-67.047417,SN
SN2025zi,Iax,0.0046,54.7274798003,-26.3706173068,SN
SN2025qe,Iax,0.0075,139.6174595,73.7624704,SN
SN2025kg,Ic-BL,0.176,55.6182889176,-22.5059100987,SN
SN2024aeee,II,0.0116,123.712208,73.578869,SN
SN2022ffg,II,0.012,153.450958,18.127319,SN
SN2025qe,Iax,0.0075,139.6174595,73.7624704,SN
SN2025oq,Ic-BL,0.01133,136.160132118,18.4666761729,SN
SN2025mg,II,0.013736,109.2259983,67.1088547,SN
SN2025mb,Ia,0.005,8.570355,-27.80146,SN
SN2025mb,Ia,0.005,8.570355,-27.80146,SN
SN2025cy,Ia,0.01,200.306033,-43.683656,SN
SN2024abfo,II,,59.3567569083,-46.1854626345,SN
SN2025gj,Ia,0.0077,146.084398667,-21.272888054,SN
SN2025cy,Ia,0.01,200.306033,-43.683656,SN
SN2025gj,Ia,0.0077,146.084398667,-21.272888054,SN
SN2024xqt,Ia,0.0255,262.804083,36.751081,SN
SN2024abbv,II,0.005,8.537083,-30.767939,SN
SN2024adtg,SLSN-II,0.32,133.3685445,-11.1408015,SN
SN2024ztn,SN,0.01979,22.4545,-39.49135,SN
SN2024adhq,SLSN-I,0.109,17.737583,42.201519,SN
SN2024aeee,II,0.0116,123.712208,73.578869,SN
